City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,15.82,73,0,10.36,US,1650419112
1,Hamilton,39.1834,-84.5333,45.23,66,68,1.01,US,1650419038
2,Nuevo Progreso,23.1667,-97.95,76.53,71,6,1.01,MX,1650419112
3,Taoudenni,22.6783,-3.9836,78.82,10,100,1.81,ML,1650419113
4,Salalah,17.0151,54.0924,78.89,78,20,0.0,OM,1650419113
5,Mount Gambier,-37.8333,140.7667,58.91,82,75,9.22,AU,1650418877
6,Saskylakh,71.9167,114.0833,7.74,91,69,6.93,RU,1650419113
7,Margosatubig,7.5777,123.1658,86.2,69,100,4.94,PH,1650419114
8,Bariloche,-41.1456,-71.3082,46.15,71,75,6.91,AR,1650418816
9,Aripuanã,-9.1667,-60.6333,73.38,96,76,1.1,BR,1650419114
10,Bredasdorp,-34.5322,20.0403,59.02,85,18,4.74,ZA,1650418871
11,Tete,-16.1564,33.5867,69.89,78,40,4.61,MZ,1650419115
12,Jarville-la-Malgrange,48.6691,6.2064,51.48,66,0,4.61,FR,1650419115
13,Mandalgovi,45.7625,106.2708,49.17,43,56,20.49,MN,1650419116
14,Hermanus,-34.4187,19.2345,62.8,60,42,9.13,ZA,1650419116
15,Cape Town,-33.9258,18.4232,75.11,82,0,5.75,ZA,1650418963
16,Yar-Sale,66.8333,70.8333,20.46,85,63,23.38,RU,1650419116
17,Lorengau,-2.0226,147.2712,86.04,67,35,11.63,PG,1650419117
18,Vaini,-21.2,-175.2,78.96,89,100,8.05,TO,1650419117
19,Sukhumi,43.0033,41.0153,52.65,99,100,4.09,GE,1650419117
20,Busselton,-33.65,115.3333,64.56,56,3,10.11,AU,1650419118
21,Guerrero Negro,27.9769,-114.0611,62.33,78,45,16.82,MX,1650418861
22,Upernavik,72.7868,-56.1549,-7.15,99,94,6.35,GL,1650419118
23,Hithadhoo,-0.6,73.0833,82.44,71,41,3.09,MV,1650419119
24,Chokurdakh,70.6333,147.9167,22.6,89,97,5.77,RU,1650419119
25,Carnarvon,-24.8667,113.6333,78.87,47,66,12.66,AU,1650418960
26,Tura,25.5198,90.2201,70.99,87,94,4.43,IN,1650419119
27,Ushuaia,-54.8,-68.3,46.06,66,40,14.97,AR,1650418964
28,Ipswich,52.0592,1.1555,48.02,88,20,9.22,GB,1650419120
29,Vila Velha,-20.3297,-40.2925,75.15,78,20,2.3,BR,1650418870
30,Touros,-5.1989,-35.4608,79.23,78,13,11.1,BR,1650419120
31,Saint-Philippe,-21.3585,55.7679,76.59,81,47,3.51,RE,1650419121
32,Richards Bay,-28.783,32.0377,61.25,87,3,3.8,ZA,1650419121
33,Punta Arenas,-53.15,-70.9167,42.91,75,75,23.02,CL,1650419121
34,Qaanaaq,77.484,-69.3632,-6.7,86,100,6.17,GL,1650419122
35,Khatanga,71.9667,102.5,6.01,92,64,5.53,RU,1650418957
36,Vao,-22.6667,167.4833,75.78,69,0,6.46,NC,1650419122
37,Atuona,-9.8,-139.0333,79.3,72,23,16.24,PF,1650419122
38,Paamiut,61.994,-49.6678,16.86,71,3,22.03,GL,1650419123
39,Gizo Government Station,-8.103,156.8419,84.24,70,100,3.8,SB,1650419123
40,Sharjah city,25.3573,55.4033,73.38,88,0,6.91,AE,1650418958
41,Knin,44.0439,16.2,45.12,95,100,8.3,HR,1650419124
42,Talaya,61.3833,152.75,23.41,68,26,4.85,RU,1650419124
